WTI,DateTime,WCS,WCS_Interpolated,WTI_Interpolated,WTI_WCS_diff
60.37,2018-01-02,35.30968947414346,35.30968947414346,60.37,25.060310525856536
61.61,2018-01-03,37.67478340487948,37.67478340487948,61.61,23.935216595120522
61.98,2018-01-04,37.09380222270636,37.09380222270636,61.98,24.88619777729364
61.49,2018-01-05,36.40331644467267,36.40331644467267,61.49,25.086683555327333
61.73,2018-01-08,36.34763595743641,36.34763595743641,61.73,25.382364042563587
62.92,2018-01-09,37.27548858336037,37.27548858336037,62.92,25.64451141663963
63.6,2018-01-10,38.168016627005855,38.168016627005855,63.6,25.431983372994146
63.81,2018-01-11,38.42975756910856,38.42975756910856,63.81,25.380242430891442
64.22,2018-01-12,39.54219546406517,39.54219546406517,64.22,24.677804535934825
63.82,2018-01-16,42.757193801845496,42.757193801845496,63.82,21.062806198154505
63.92,2018-01-17,40.177471826187656,40.177471826187656,63.92,23.742528173812346
63.96,2018-01-18,39.59872946837812,39.59872946837812,63.96,24.361270531621884
63.38,2018-01-19,36.622506559193006,36.622506559193006,63.38,26.757493440806996
63.66,2018-01-22,37.00829062278827,37.00829062278827,63.66,26.651709377211724
64.45,2018-01-23,36.76486545208146,36.76486545208146,64.45,27.685134547918544
65.69,2018-01-24,37.35915116916752,37.35915116916752,65.69,28.33084883083248
65.62,2018-01-25,37.41372105645511,37.41372105645511,65.62,28.206278943544895
66.27,2018-01-26,38.581098178056024,38.581098178056024,66.27,27.688901821943972
65.71,2018-01-29,37.50621075783812,37.50621075783812,65.71,28.203789242161875
64.64,2018-01-30,36.10894170881956,36.10894170881956,64.64,28.531058291180443
64.82,2018-01-31,35.69443853488814,35.69443853488814,64.82,29.12556146511185
65.92,2018-02-01,35.320821740858506,35.320821740858506,65.92,30.599178259141496
65.5,2018-02-02,34.92992184429987,34.92992184429987,65.5,30.57007815570013
64.18,2018-02-05,33.36811513578976,33.36811513578976,64.18,30.81188486421025
63.48,2018-02-06,33.36983290976062,33.36983290976062,63.48,30.11016709023938
61.91,2018-02-07,33.07383677035124,33.07383677035124,61.91,28.836163229648754
61.3,2018-02-08,35.118902117429776,35.118902117429776,61.3,26.18109788257022
59.2,2018-02-09,36.1868355318412,36.1868355318412,59.2,23.013164468158806
59.41,2018-02-12,38.096261684482975,38.096261684482975,59.41,21.31373831551702
59.33,2018-02-13,38.231508819744114,38.231508819744114,59.33,21.098491180255884
60.7,2018-02-14,35.05664368958899,35.05664368958899,60.7,25.643356310411015
61.48,2018-02-15,34.70234728965134,34.70234728965134,61.48,26.777652710348654
61.89,2018-02-16,34.991366260716106,34.991366260716106,61.89,26.898633739283895
61.91,2018-02-20,33.75638820753327,33.75638820753327,61.91,28.153611792466727
61.73,2018-02-21,33.24944018607642,33.24944018607642,61.73,28.480559813923577
62.72,2018-02-22,34.02568513906936,34.02568513906936,62.72,28.69431486093064
63.52,2018-02-23,36.01829880178289,36.01829880178289,63.52,27.501701198217113
63.81,2018-02-26,37.22040520363822,37.22040520363822,63.81,26.58959479636178
62.94,2018-02-27,37.56180226768462,37.56180226768462,62.94,25.37819773231538
61.43,2018-02-28,36.36652041036826,36.36652041036826,61.43,25.06347958963174
60.98,2018-03-01,36.24766632452004,36.24766632452004,60.98,24.732333675479957
61.19,2018-03-02,36.99849009161936,36.99849009161936,61.19,24.191509908380638
62.49,2018-03-05,37.12083001685874,37.12083001685874,62.49,25.369169983141262
62.54,2018-03-06,36.11558070525717,36.11558070525717,62.54,26.424419294742826
61.09,2018-03-07,34.136972514702535,34.136972514702535,61.09,26.95302748529747
60.13,2018-03-08,33.82083296899073,33.82083296899073,60.13,26.309167031009274
